,elaped_time,pages_queued
398,6.84,399
399,6.85,400
400,7.21,401
401,7.21,402
402,7.22,403
403,7.22,404
404,7.23,405
405,7.24,406
406,7.24,407
407,7.25,408
408,7.26,409
409,7.27,410
410,7.27,411
411,7.28,412
412,7.29,413
413,7.30,414
414,7.30,415
415,7.31,416
416,7.32,417
417,7.32,418
418,7.33,419
419,7.34,420
420,7.66,421
421,7.67,422
422,7.68,423
423,7.69,424
424,7.69,425
425,7.70,426
426,7.71,427
427,7.72,428
428,7.72,429
429,7.73,430
430,7.74,431
431,7.75,432
432,7.75,433
433,7.76,434
434,7.77,435
435,7.78,436
436,7.79,437
437,7.79,438
438,7.80,439
439,7.81,440
440,8.13,441
441,8.14,442
442,8.15,443
443,8.16,444
444,8.16,445
445,8.17,446
446,8.18,447
447,8.19,448
448,8.19,449
449,8.20,450
450,8.21,451
451,8.22,452
452,8.22,453
453,8.23,454
454,8.23,455
455,8.24,456
456,8.25,457
457,8.25,458
458,8.26,459
459,8.27,460
460,8.60,461
461,8.61,462
462,8.62,463
463,8.62,464
464,8.63,465
465,8.64,466
466,8.64,467
467,8.65,468
468,8.66,469
469,8.67,470
470,8.67,471
471,8.68,472
472,8.69,473
473,8.70,474
474,8.71,475
475,8.71,476
476,8.72,477
477,8.73,478
478,8.74,479
479,8.74,480
480,9.04,481
481,9.05,482
482,9.05,483
483,9.06,484
484,9.06,485
485,9.07,486
486,9.07,487
487,9.08,488
488,9.08,489
489,9.09,490
490,9.09,491
491,9.10,492
492,9.10,493
493,9.11,494
494,9.12,495
495,9.12,496
496,9.13,497
497,9.13,498
498,9.14,499
499,9.14,500
500,9.45,501
501,9.45,502
502,9.46,503
503,9.46,504
504,9.47,505
505,9.47,506
506,9.48,507
507,9.48,508
508,9.49,509
509,9.49,510
510,9.50,511
511,9.50,512
512,9.50,513
513,9.51,514
514,9.51,515
515,9.52,516
516,9.52,517
517,9.53,518
518,9.53,519
519,9.54,520
520,9.83,521
521,9.83,522
522,9.84,523
523,9.85,524
524,9.85,525
525,9.86,526
526,9.86,527
527,9.87,528
528,9.87,529
529,9.88,530
530,9.88,531
531,9.89,532
532,9.89,533
533,9.90,534
534,9.90,535
535,9.91,536
536,9.91,537
537,9.92,538
538,9.92,539
539,9.93,540
540,10.37,541
541,10.38,542
542,10.38,543
543,10.39,544
544,10.39,545
545,10.40,546
546,10.40,547
547,10.40,548
548,10.41,549
549,10.41,550
550,10.42,551
551,10.42,552
552,10.43,553
553,10.43,554
554,10.44,555
555,10.44,556
556,10.45,557
557,10.45,558
558,10.46,559
559,10.46,560
560,10.83,561
561,10.84,562
562,10.85,563
563,10.86,564
564,10.87,565
565,10.88,566
566,10.89,567
567,10.90,568
568,10.90,569
569,10.91,570
570,10.92,571
571,10.93,572
572,10.94,573
573,10.95,574
574,10.95,575
575,10.96,576
576,10.97,577
577,10.97,578
578,10.98,579
579,10.99,580
580,11.31,581
581,11.32,582
582,11.32,583
583,11.33,584
584,11.33,585
585,11.34,586
586,11.34,587
587,11.35,588
588,11.35,589
589,11.36,590
590,11.37,591
591,11.37,592
592,11.38,593
593,11.38,594
594,11.39,595
595,11.39,596
596,11.40,597
597,11.40,598
598,11.41,599
599,11.42,600
600,12.83,601
601,12.83,602
602,12.84,603
603,12.85,604
604,12.85,605
605,12.86,606
606,12.87,607
607,12.88,608
608,12.88,609
609,12.89,610
610,12.90,611
611,12.91,612
612,12.91,613
613,12.92,614
614,12.93,615
